School Code,School Name,School Type,Town,Zip,Grade,District Name,District Code,9_Enrollment,10_Enrollment,11_Enrollment,12_Enrollment,SP_Enrollment,TOTAL_Enrollment,First Language Not English,% First Language Not English,English Language Learner,% English Language Learner,Students With Disabilities,% Students With Disabilities,High Needs,% High Needs,Economically Disadvantaged,% Economically Disadvantaged,% African American,% Asian,% Hispanic,% White,% Native American,"% Native Hawaiian, Pacific Islander","% Multi-Race, Non-Hispanic",% Males,% Females,Total # of Classes,Average Class Size,Number of Students,Salary Totals,Average Salary,FTE Count,In-District Expenditures,Total In-district FTEs,Average In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Average Expenditures per Pupil,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% GED,% Dropped Out,% Permanently Excluded,High School Graduates (#),Attending Coll./Univ. (#),% Attending College,% Private Two-Year,% Private Four-Year,% Public Two-Year,% Public Four-Year,% MA Community College,% MA State University,% UMass,SAT_Tests Taken,MCAS_10thGrade_Math_SGP,MCAS_10thGrade_Math_Incl. in SGP(#),MCAS_10thGrade_English_SGP,MCAS_10thGrade_English_Incl. in SGP(#),School Accountability Percentile (1-99),Progress and Performance Index (PPI) - All Students,Charter School,Public School
6150505,Athol High,Public School,Athol,1331,"09,10,11,12",Athol-Royalston,6150000,101,76,98,73,10,358,4.0,1.1,3.0,0.8,96.0,26.8,201.0,56.1,162.0,45.3,2.8,0.8,5.6,89.7,0.0,0.0,1.1,54.2,45.8,193.0,13.7,344.0,6505576.0,63407.0,103.0,20115417.66,1382.8,14546.87,24263196.94,1771.7,13694.87,108.0,75.0,10.2,0.0,0.0,13.9,0.9,71.0,42.0,59.2,0.0,28.6,35.7,35.7,31.0,21.4,7.1,49.0,40.0,74.0,49.5,74.0,12.0,56.0,0,1
4910550,Atlantis Charter School,Charter School,Fall River,2721,"K,01,02,03,04,05,06,07,08,09,10,11",Atlantis Charter (District),4910000,62,76,49,0,0,1111,182.0,16.4,67.0,6.0,135.0,12.2,555.0,50.0,460.0,41.4,4.7,1.9,9.9,80.0,0.1,0.0,3.4,46.7,53.3,415.0,21.7,1024.0,61783731.78285714,74361.47428571428,760.6,169085629.01008573,10029.715428571428,15021.581228571427,193649427.53302857,11312.36885714286,15417.92582857143,193.04054054054055,83.4718918918919,7.069459459459459,1.207297297297297,1.1256756756756756,7.082702702702703,0.042702702702702704,175.62191780821917,143.08797653958945,74.4982404692082,0.15249266862170088,32.550439882697944,32.0633431085044,35.23870967741935,30.900293255131963,12.958944281524927,13.473607038123166,140.24858757062148,37.0,43.0,50.5,42.0,67.0,57.0,1,0
6160505,Ayer Shirley Regional High School,Public School,Ayer,1432,"09,10,11,12",Ayer Shirley School District,6160000,108,119,96,86,0,409,35.0,8.6,10.0,2.4,81.0,19.8,156.0,38.1,103.0,25.2,7.8,2.4,10.5,72.9,0.2,0.2,5.9,50.4,49.6,253.0,15.4,399.0,8313948.0,60863.0,137.0,22333154.23,1644.6,13579.69,26949018.54,1928.4,13974.81,90.0,93.3,1.1,0.0,0.0,5.6,0.0,58.0,39.0,67.2,0.0,12.8,48.7,38.5,48.7,17.9,17.9,65.0,49.0,83.0,44.5,84.0,34.0,61.0,0,1
4140305,Berkshire Arts and Technology Charter Public School,Charter School,Adams,1220,"06,07,08,09,10,11,12",Berkshire Arts and Technology Charter Public (District),4140000,47,53,31,16,0,356,9.0,2.5,6.0,1.7,75.0,21.1,188.0,52.8,149.0,41.9,14.6,2.5,6.7,71.9,0.0,0.3,3.9,48.0,51.7,166.0,15.8,354.0,61783731.78285714,74361.47428571428,760.6,169085629.01008573,10029.715428571428,15021.581228571427,193649427.53302857,11312.36885714286,15417.92582857143,23.0,91.3,8.7,0.0,0.0,0.0,0.0,19.0,14.0,73.7,0.0,7.1,64.3,28.6,64.3,14.3,0.0,25.0,48.0,31.0,63.5,32.0,57.0,69.0,1,0
6180505,Monument Mt Regional High,Public School,Great Barrington,1230,"09,10,11,12",Berkshire Hills,6180000,121,142,125,148,11,547,30.0,5.5,6.0,1.1,77.0,14.1,168.0,30.7,121.0,22.1,2.2,1.8,4.8,88.5,0.2,0.2,2.4,51.4,48.6,322.0,12.1,543.0,8100013.0,71618.0,113.0,23547605.88,1349.2,17453.01,25330961.68,1467.8,17257.77,144.0,90.3,5.6,0.0,1.4,2.1,0.7,127.0,104.0,81.9,0.0,49.0,22.1,28.8,20.2,10.6,7.7,96.0,49.5,94.0,48.0,93.0,56.0,73.0,0,1
6200505,Tahanto Regional High,Public School,Boylston,1505,"06,07,08,09,10,11,12",Berlin-Boylston,6200000,73,77,79,87,0,584,32.0,5.5,7.0,1.2,93.0,15.9,142.0,24.3,55.0,9.4,1.0,3.1,2.6,91.3,0.0,0.0,2.1,52.2,47.8,307.0,16.2,564.0,2852696.0,62286.0,46.0,7233688.21,550.1,13149.77,8849209.72,623.2,14199.63,70.0,94.3,2.9,0.0,0.0,2.9,0.0,58.0,48.0,82.8,0.0,31.3,6.3,62.5,6.3,25.0,8.3,61.0,77.0,76.0,68.0,76.0,87.0,82.0,0,1
8050605,Blackstone Valley,Public School,Upton,1568,"09,10,11,12",Blackstone Valley Regional Vocational Technical,8050000,312,308,300,286,0,1206,9.0,0.7,3.0,0.2,118.0,9.8,231.0,19.2,121.0,10.0,0.6,0.8,2.9,94.1,0.0,0.0,1.6,48.2,51.8,709.0,17.4,1192.0,7160903.0,75378.0,95.0,21800006.38,1188.1,18348.63,21800006.38,1188.1,18348.63,289.0,99.3,0.0,0.0,0.0,0.7,0.0,280.0,222.0,79.3,0.0,37.8,16.7,45.5,15.3,25.2,12.2,225.0,64.0,286.0,68.0,286.0,94.0,100.0,0,1
6220505,Blackstone Millville RHS,Public School,Blackstone,1504,"09,10,11,12",Blackstone-Millville,6220000,112,119,99,115,3,448,17.0,3.8,6.0,1.3,65.0,14.5,133.0,29.7,80.0,17.9,0.9,1.8,3.6,92.6,0.0,0.0,1.1,48.7,51.3,206.0,15.4,463.0,8408176.0,61779.0,136.0,22161900.0,1762.9,12571.27,24551946.0,1869.1,13135.7,121.0,94.2,4.1,0.0,0.8,0.8,0.0,90.0,56.0,62.2,0.0,21.4,21.4,57.1,5.4,21.4,25.0,81.0,31.5,92.0,58.5,94.0,50.0,68.0,0,1
8060605,Blue Hills Regional Vocational Technical,Public School,Canton,2021,"09,10,11,12",Blue Hills Regional Vocational Technical,8060000,204,220,227,216,0,867,61.0,7.0,2.0,0.2,220.0,25.4,364.0,42.0,197.0,22.7,22.7,0.7,11.9,59.3,0.8,0.1,4.5,55.5,44.5,411.0,15.8,873.0,6363564.0,80551.0,79.0,18129829.54,849.0,21354.33,18134829.54,850.0,21335.09,193.0,97.4,2.6,0.0,0.0,0.0,0.0,184.0,117.0,63.6,0.0,40.2,36.8,23.1,36.8,12.8,5.1,103.0,50.5,204.0,46.5,206.0,60.0,83.0,0,1
4490305,Boston Collegiate Charter School,Charter School,Dorchester,2125,"05,06,07,08,09,10,11,12",Boston Collegiate Charter (District),4490000,76,78,78,70,0,680,76.0,11.2,23.0,3.4,122.0,17.9,303.0,44.6,200.0,29.4,27.5,2.2,19.7,47.5,0.7,0.0,2.4,48.1,51.9,270.0,20.6,688.0,61783731.78285714,74361.47428571428,760.6,169085629.01008573,10029.715428571428,15021.581228571427,193649427.53302857,11312.36885714286,15417.92582857143,59.0,91.5,8.5,0.0,0.0,0.0,0.0,56.0,46.0,82.1,0.0,28.3,17.4,54.3,17.4,30.4,21.7,63.0,35.0,77.0,42.0,79.0,76.0,63.0,1,0
4240505,Boston Day and Evening Academy Charter School,Charter School,Roxbury,2119,"09,10,11,12",Boston Day and Evening Academy Charter (District),4240000,122,32,3,247,0,404,49.0,12.1,37.0,9.2,110.0,27.2,286.0,70.8,227.0,56.2,48.3,2.0,40.1,5.2,1.0,0.2,3.2,42.3,57.7,280.0,15.8,447.0,61783731.78285714,74361.47428571428,760.6,169085629.01008573,10029.715428571428,15021.581228571427,193649427.53302857,11312.36885714286,15417.92582857143,153.0,9.8,63.4,0.7,4.6,21.6,0.0,60.0,32.0,53.3,0.0,25.0,53.1,21.9,53.1,3.1,18.8,24.0,50.57507507507508,2.0,50.83483483483484,2.0,51.50445103857567,76.0,1,0
4110305,Boston Green Academy Horace Mann Charter School,Charter School,Brighton,2135,"06,07,08,09,10,11,12",Boston Green Academy Horace Mann Charter School (District),4110000,79,65,69,78,0,476,157.0,33.0,62.0,13.0,96.0,20.2,357.0,75.0,291.0,61.1,54.8,0.8,32.6,7.4,0.0,0.0,4.4,51.5,48.5,209.0,14.4,414.0,61783731.78285714,74361.47428571428,760.6,169085629.01008573,10029.715428571428,15021.581228571427,193649427.53302857,11312.36885714286,15417.92582857143,64.0,76.6,12.5,0.0,3.1,7.8,0.0,63.0,47.0,74.6,0.0,44.7,31.9,23.4,31.9,12.8,10.6,38.0,27.5,58.0,37.0,57.0,10.0,64.0,1,0
4160305,Boston Preparatory Charter Public School,Charter School,Hyde Park,2136,"06,07,08,09,10,11,12",Boston Preparatory Charter Public (District),4160000,69,67,53,48,0,415,83.0,20.0,42.0,10.1,92.0,22.2,256.0,61.7,162.0,39.0,69.2,1.0,24.8,2.4,0.5,0.2,1.9,51.8,48.2,75.0,34.0,421.0,61783731.78285714,74361.47428571428,760.6,169085629.01008573,10029.715428571428,15021.581228571427,193649427.53302857,11312.36885714286,15417.92582857143,52.0,75.0,13.5,0.0,0.0,11.5,0.0,42.0,40.0,95.2,0.0,40.0,15.0,45.0,15.0,27.5,15.0,45.0,57.5,46.0,66.0,47.0,64.0,75.0,1,0
6250505,Bridgewater-Raynham Regional,Public School,Bridgewater,2324,"09,10,11,12",Bridgewater-Raynham,6250000,354,401,356,392,9,1512,37.0,2.4,12.0,0.8,149.0,9.9,310.0,20.5,181.0,12.0,3.9,2.3,2.7,87.4,0.2,0.1,3.4,50.0,50.0,635.0,16.9,1473.0,26985881.0,82349.0,328.0,63702161.0,5280.5,12063.66,70289768.0,5509.0,12759.08,364.0,92.6,3.3,1.1,0.0,3.0,0.0,368.0,280.0,76.1,0.0,29.6,19.6,50.7,19.6,26.1,15.7,279.0,41.0,321.0,35.0,323.0,36.0,80.0,0,1
6250415,Therapeutic Day School,Public School,Bridgewater,2324,"05,06,07,08,09,10,11,12",Bridgewater-Raynham,6250000,2,4,0,2,0,11,0.0,0.0,0.0,0.0,11.0,100.0,11.0,100.0,4.0,36.4,0.0,0.0,0.0,90.9,0.0,0.0,9.1,54.5,45.5,439.5703125,15.401562499999999,820.6770833333334,26985881.0,82349.0,328.0,63702161.0,5280.5,12063.66,70289768.0,5509.0,12759.08,193.04054054054055,83.4718918918919,7.069459459459459,1.207297297297297,1.1256756756756756,7.082702702702703,0.042702702702702704,175.62191780821917,143.08797653958945,74.4982404692082,0.15249266862170088,32.550439882697944,32.0633431085044,35.23870967741935,30.900293255131963,12.958944281524927,13.473607038123166,140.24858757062148,50.57507507507508,167.36857142857144,50.83483483483484,166.0625,51.50445103857567,75.01474926253687,0,1
9100705,Bristol County Agricultural High,Public School,Dighton,2715,"09,10,11,12",Bristol County Agricultural,9100000,124,119,116,109,0,468,7.0,1.5,0.0,0.0,59.0,12.6,129.0,27.6,80.0,17.1,0.2,0.2,2.6,95.5,0.2,0.0,1.3,28.2,71.4,313.0,17.7,458.0,2198543.0,66221.0,33.0,8632381.05,447.8,19277.31,8632381.05,447.8,19277.31,107.0,100.0,0.0,0.0,0.0,0.0,0.0,97.0,70.0,72.2,0.0,30.0,28.6,41.4,28.6,15.7,10.0,77.0,37.0,112.0,37.0,112.0,63.0,74.0,0,1
8100605,Bristol-Plymouth Vocational Technical,Public School,Taunton,2780,"09,10,11,12",Bristol-Plymouth Regional Vocational Technical,8100000,345,328,311,319,0,1303,42.0,3.2,2.0,0.2,245.0,18.8,500.0,38.4,341.0,26.2,2.9,0.7,6.4,86.4,0.5,0.0,3.1,57.7,42.1,975.0,17.4,1293.0,8434845.0,80716.0,105.0,22952096.14,1306.5,17567.62,22978896.14,1311.9,17515.74,314.0,97.1,0.6,0.0,0.3,1.9,0.0,297.0,170.0,57.2,0.6,24.7,39.4,35.3,38.2,22.4,9.4,161.0,58.5,310.0,44.0,309.0,61.0,75.0,0,1
8150605,Cape Cod Region Vocational Technical,Public School,Harwich,2645,"09,10,11,12",Cape Cod Regional Vocational Technical,8150000,160,151,161,149,2,623,27.0,4.3,18.0,2.9,170.0,27.3,342.0,54.9,223.0,35.8,5.1,1.0,10.4,76.2,2.1,0.2,5.0,62.4,37.6,412.0,13.3,643.0,4980425.0,68981.0,72.0,15543881.52,633.1,24552.02,15553881.52,635.1,24490.44,154.0,92.9,3.9,0.0,0.6,2.6,0.0,123.0,50.0,40.7,0.0,20.0,54.0,26.0,52.0,14.0,4.0,65.0,60.0,152.0,54.0,152.0,41.0,73.0,0,1
6350505,Wahconah Regional High,Public School,Dalton,1226,"09,10,11,12",Central Berkshire,6350000,125,158,121,139,0,543,8.0,1.5,3.0,0.6,58.0,10.7,151.0,27.8,115.0,21.2,1.1,0.7,4.1,92.3,0.0,0.0,1.8,49.4,50.6,333.0,15.1,553.0,9712824.0,69081.0,141.0,27207475.61,1712.2,15890.36,28379799.95,1878.8,15105.28,131.0,91.6,1.5,0.0,1.5,5.3,0.0,147.0,126.0,85.7,0.0,17.5,42.1,40.5,42.1,19.8,13.5,96.0,50.0,103.0,49.5,102.0,69.0,70.0,0,1
4370505,City on a Hill Charter Public School Circuit Street,Charter School,Roxbury,2119,"09,10,11,12",City on a Hill Charter Public School Circuit Street (District),4370000,111,67,51,50,0,279,85.0,30.5,29.0,10.4,63.0,22.6,196.0,70.3,157.0,56.3,65.2,0.0,29.7,2.9,0.4,0.4,1.4,45.2,54.8,130.0,12.1,273.0,61783731.78285714,74361.47428571428,760.6,169085629.01008573,10029.715428571428,15021.581228571427,193649427.53302857,11312.36885714286,15417.92582857143,59.0,69.5,23.7,0.0,0.0,5.1,1.7,45.0,41.0,91.1,0.0,58.5,14.6,26.8,14.6,7.3,19.5,49.0,61.0,39.0,43.0,39.0,57.0,69.0,1,0
4380505,Codman Academy Charter Public School,Charter School,Dorchester,2124,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12",Codman Academy Charter Public (District),4380000,46,47,30,32,0,359,53.0,14.8,0.0,0.0,79.0,22.0,234.0,65.2,186.0,51.8,80.5,0.0,17.5,0.6,0.3,0.6,0.6,49.9,50.1,92.0,17.8,316.0,61783731.78285714,74361.47428571428,760.6,169085629.01008573,10029.715428571428,15021.581228571427,193649427.53302857,11312.36885714286,15417.92582857143,24.0,62.5,20.8,0.0,8.3,8.3,0.0,27.0,22.0,81.5,0.0,36.4,22.7,40.9,22.7,9.1,27.3,19.0,50.57507507507508,19.0,50.83483483483484,19.0,42.0,81.0,1,0
4360305,Community Charter School of Cambridge,Charter School,Cambridge,2141,"06,07,08,09,10,11,12",Community Charter School of Cambridge (District),4360000,64,60,57,53,0,374,93.0,24.9,9.0,2.4,71.0,19.0,186.0,49.7,130.0,34.8,62.0,3.5,24.3,5.1,1.6,0.3,3.2,47.3,52.7,295.0,16.7,403.0,61783731.78285714,74361.47428571428,760.6,169085629.01008573,10029.715428571428,15021.581228571427,193649427.53302857,11312.36885714286,15417.92582857143,53.0,92.5,3.8,0.0,0.0,1.9,1.9,52.0,46.0,88.5,0.0,39.1,21.7,39.1,21.7,8.7,28.3,55.0,67.0,55.0,79.5,56.0,84.0,81.0,1,0
6400505,Concord Carlisle High,Public School,Concord,1742,"09,10,11,12",Concord-Carlisle,6400000,301,334,325,315,1,1276,64.0,5.0,5.0,0.4,211.0,16.5,269.0,21.1,69.0,5.4,4.3,9.5,4.0,78.5,0.0,0.0,3.7,47.8,52.1,713.0,15.3,1284.0,9468759.0,100731.0,94.0,24139660.22,1257.7,19193.5,28109892.72,1306.3,21518.71,303.0,98.3,1.7,0.0,0.0,0.0,0.0,292.0,262.0,89.7,0.4,65.3,5.7,28.6,4.2,1.9,9.9,263.0,51.0,287.0,51.0,227.0,85.0,93.0,0,1
6450505,Dennis-Yarmouth Regional High,Public School,South Yarmouth,2664,"08,09,10,11,12",Dennis-Yarmouth,6450000,194,201,202,181,0,1003,143.0,14.3,45.0,4.5,175.0,17.4,469.0,46.8,344.0,34.3,10.0,2.9,10.3,70.2,1.6,0.1,5.0,50.7,49.3,662.0,14.7,1025.0,20080993.0,67658.0,297.0,50252128.2,2964.4,16951.87,58026146.56,3517.0,16498.76,190.0,87.9,5.3,1.1,0.5,5.3,0.0,157.0,112.0,71.3,0.0,32.1,33.9,33.9,33.0,15.2,5.4,137.0,57.0,155.0,60.0,153.0,31.0,59.0,0,1
6500505,Dighton-Rehoboth Regional High School,Public School,North Dighton,2764,"PK,09,10,11,12",Dighton-Rehoboth,6500000,191,219,207,227,0,928,11.0,1.2,0.0,0.0,121.0,13.0,213.0,23.0,130.0,14.0,1.0,1.1,4.3,91.6,0.0,0.0,2.0,55.6,44.4,486.0,16.9,924.0,14914223.0,67485.0,221.0,36077251.89,2899.7,12441.72,39284546.89,2950.2,13315.89,212.0,92.9,4.2,0.9,0.5,1.4,0.0,209.0,165.0,78.9,0.0,26.7,24.2,49.1,21.2,18.2,23.0,147.0,52.0,187.0,64.0,188.0,77.0,85.0,0,1
6550505,Dover-Sherborn Regional High,Public School,Dover,2030,"09,10,11,12",Dover-Sherborn,6550000,173,154,167,158,0,652,14.0,2.1,3.0,0.5,76.0,11.7,95.0,14.6,22.0,3.4,2.3,6.1,2.6,85.7,0.0,0.0,3.2,48.6,51.4,536.0,12.9,663.0,9763574.0,94698.0,103.0,21603572.0,1169.6,18470.91,22519127.0,1206.0,18672.58,172.0,99.4,0.6,0.0,0.0,0.0,0.0,149.0,135.0,90.6,0.0,77.8,2.2,20.0,1.5,1.5,3.7,167.0,66.0,147.0,71.0,149.0,99.0,100.0,0,1
6580505,Shepherd Hill Regional High,Public School,Dudley,1571,"09,10,11,12",Dudley-Charlton Reg,6580000,293,269,303,300,1,1166,64.0,5.5,8.0,0.7,121.0,10.4,280.0,24.0,200.0,17.2,1.7,2.2,6.7,87.0,0.3,0.2,1.8,48.2,51.8,460.0,19.2,1176.0,18285518.0,66931.0,273.0,43514694.25,4000.0,10878.67,47410853.46,4092.5,11584.81,273.0,92.3,2.6,1.5,0.4,3.3,0.0,243.0,187.0,77.0,0.5,33.7,19.8,46.0,18.7,19.8,16.6,203.0,43.0,267.0,35.0,267.0,46.0,70.0,0,1
4520505,Edward M. Kennedy Academy for Health Careers (Horace Mann Charter School),Charter School,Boston,2115,"09,10,11,12",Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),4520000,105,88,79,87,0,359,182.0,50.7,49.0,13.6,59.0,16.4,244.0,68.0,194.0,54.0,44.6,1.9,46.8,4.5,0.0,0.0,2.2,34.3,65.7,164.0,17.1,337.0,61783731.78285714,74361.47428571428,760.6,169085629.01008573,10029.715428571428,15021.581228571427,193649427.53302857,11312.36885714286,15417.92582857143,75.0,86.7,6.7,0.0,1.3,5.3,0.0,88.0,72.0,81.8,0.0,19.4,36.1,44.4,36.1,16.7,26.4,69.0,41.0,82.0,55.0,82.0,35.0,67.0,1,0
8170505,Essex Technical High School,Public School,Hathorne,1937,"09,10,11,12",Essex North Shore Agricultural and Technical School District,8170000,360,349,338,260,0,1307,89.0,6.8,4.0,0.3,277.0,21.2,500.0,38.3,274.0,21.0,1.3,1.5,12.3,81.6,0.1,0.1,3.1,43.0,57.0,835.0,16.1,1201.0,7422232.0,68534.0,108.0,23825490.3,1097.0,21718.77,23917764.3,1114.0,21470.17,236.0,97.5,1.7,0.0,0.4,0.4,0.0,230.0,151.0,65.7,0.0,27.8,33.1,39.1,30.5,17.2,10.6,147.0,43.0,312.0,66.0,313.0,76.0,85.0,0,1
4100205,Excel Academy Charter School,Charter School,East Boston,2128,"05,06,07,08,09,10",Excel Academy Charter (District),4100000,173,106,0,0,0,957,588.0,61.4,144.0,15.0,183.0,19.1,602.0,62.9,396.0,41.4,7.3,1.5,79.2,10.1,1.3,0.3,0.3,49.4,50.6,287.0,25.7,791.0,61783731.78285714,74361.47428571428,760.6,169085629.01008573,10029.715428571428,15021.581228571427,193649427.53302857,11312.36885714286,15417.92582857143,193.04054054054055,83.4718918918919,7.069459459459459,1.207297297297297,1.1256756756756756,7.082702702702703,0.042702702702702704,175.62191780821917,143.08797653958945,74.4982404692082,0.15249266862170088,32.550439882697944,32.0633431085044,35.23870967741935,30.900293255131963,12.958944281524927,13.473607038123166,140.24858757062148,50.57507507507508,167.36857142857144,50.83483483483484,166.0625,91.0,96.0,1,0
4130505,Four Rivers Charter Public School,Charter School,Greenfield,1301,"07,08,09,10,11,12",Four Rivers Charter Public (District),4130000,38,38,37,34,0,220,6.0,2.7,1.0,0.5,32.0,14.5,88.0,40.0,65.0,29.5,0.5,2.7,7.3,85.0,0.0,0.0,4.5,47.3,52.7,339.0,13.7,220.0,61783731.78285714,74361.47428571428,760.6,169085629.01008573,10029.715428571428,15021.581228571427,193649427.53302857,11312.36885714286,15417.92582857143,36.0,86.1,0.0,0.0,8.3,5.6,0.0,35.0,25.0,71.4,0.0,36.0,36.0,28.0,36.0,8.0,4.0,25.0,66.0,35.0,65.0,35.0,79.0,83.0,1,0
4460550,Foxborough Regional Charter School,Charter School,Foxborough,2035,"K,01,02,03,04,05,06,07,08,09,10,11,12",Foxborough Regional Charter (District),4460000,77,68,61,59,0,1261,256.0,20.3,147.0,11.7,113.0,9.0,413.0,32.8,215.0,17.0,36.6,10.0,4.4,42.9,0.1,0.1,5.9,47.4,52.6,551.0,22.2,1281.0,61783731.78285714,74361.47428571428,760.6,169085629.01008573,10029.715428571428,15021.581228571427,193649427.53302857,11312.36885714286,15417.92582857143,64.0,100.0,0.0,0.0,0.0,0.0,0.0,64.0,56.0,87.5,0.0,35.7,12.5,51.8,12.5,17.9,23.2,61.0,46.5,62.0,73.5,62.0,66.0,72.0,1,0
1000515,Framingham High School,Public School,Framingham,1701,"09,10,11,12",Framingham,1000000,536,547,509,510,0,2102,842.0,40.1,232.0,11.0,313.0,14.9,839.0,39.9,478.0,22.7,6.9,6.1,22.0,62.0,0.1,0.0,2.7,51.4,48.6,930.0,17.0,2111.0,53707778.0,76040.0,706.0,135764396.0,8320.5,16316.86,156749571.0,8984.0,17447.64,506.0,88.3,5.5,1.8,0.2,4.2,0.0,457.0,336.0,73.5,0.0,33.3,22.0,44.6,21.7,15.5,15.8,358.0,69.0,386.0,58.0,390.0,62.0,78.0,0,1
4780505,Francis W. Parker Charter Essential School,Charter School,Devens,1434,"07,08,09,10,11,12",Francis W. Parker Charter Essential (District),4780000,63,64,73,62,0,395,4.0,1.0,0.0,0.0,63.0,15.9,78.0,19.7,21.0,5.3,0.5,1.5,2.8,91.6,0.0,0.0,3.5,45.6,54.2,260.0,17.7,401.0,61783731.78285714,74361.47428571428,760.6,169085629.01008573,10029.715428571428,15021.581228571427,193649427.53302857,11312.36885714286,15417.92582857143,54.0,85.2,14.8,0.0,0.0,0.0,0.0,47.0,43.0,91.5,0.0,55.8,7.0,37.2,7.0,7.0,23.3,47.0,30.5,64.0,48.0,65.0,70.0,74.0,1,0
1010505,Franklin High,Public School,Franklin,2038,"09,10,11,12",Franklin,1010000,436,424,470,404,5,1739,73.0,4.2,10.0,0.6,221.0,12.7,302.0,17.4,102.0,5.9,1.7,4.5,2.1,89.4,0.2,0.2,2.0,49.2,50.8,859.0,16.9,1727.0,30206614.0,73230.0,412.0,65834302.9,5634.9,11683.31,76602309.02,6160.1,12435.24,417.0,96.2,3.1,0.0,0.0,0.7,0.0,388.0,349.0,89.9,0.0,46.7,5.7,47.6,4.9,10.6,17.5,382.0,40.0,454.0,44.0,409.0,73.0,94.0,0,1
8180605,Franklin County Technical,Public School,Turners Falls,1376,"09,10,11,12",Franklin County Regional Vocational Technical,8180000,128,129,118,113,0,488,1.0,0.2,0.0,0.0,139.0,28.5,254.0,52.0,174.0,35.7,1.0,0.2,2.5,95.9,0.0,0.0,0.4,67.8,32.2,283.0,13.1,485.0,3882310.0,67754.0,57.0,11627948.0,490.3,23715.99,11639848.0,492.7,23624.62,128.0,90.6,1.6,0.8,0.8,6.3,0.0,119.0,40.0,33.6,0.0,7.5,80.0,12.5,77.5,7.5,2.5,7.0,56.0,111.0,36.5,108.0,27.0,74.0,0,1
6650505,Apponequet Regional High,Public School,Lakeville,2347,"09,10,11,12",Freetown-Lakeville,6650000,182,189,201,153,0,725,7.0,1.0,2.0,0.3,106.0,14.6,154.0,21.2,78.0,10.8,1.4,1.5,1.8,93.7,0.3,0.1,1.2,49.5,50.5,371.0,15.0,736.0,14126911.0,74984.0,188.0,32997021.7,2840.6,11616.22,35486943.7,2911.7,12187.71,200.0,93.5,3.0,1.0,0.0,2.5,0.0,200.0,173.0,86.5,0.6,26.0,28.3,45.1,26.6,16.8,21.4,151.0,47.0,168.0,47.5,170.0,71.0,88.0,0,1
6700505,Frontier Regional,Public School,South Deerfield,1373,"07,08,09,10,11,12",Frontier,6700000,104,95,85,89,5,611,20.0,3.3,9.0,1.5,117.0,19.1,190.0,31.1,107.0,17.5,1.3,3.1,4.4,88.4,0.0,0.3,2.5,54.0,46.0,443.0,13.3,621.0,3451949.0,65008.0,53.0,10270124.0,605.1,16972.61,12095717.0,694.5,17416.44,104.0,91.3,4.8,0.0,2.9,1.0,0.0,92.0,79.0,85.9,0.0,27.8,39.2,32.9,38.0,7.6,15.2,77.0,65.0,78.0,40.0,79.0,54.0,63.0,0,1
1030515,Gardner Academy for Learning and Technology,Public School,Gardner,1440,"09,10,11,12",Gardner,1030000,27,22,21,23,0,93,4.0,4.3,4.0,4.3,27.0,29.0,71.0,76.3,61.0,65.6,5.4,1.1,12.9,73.1,1.1,0.0,6.5,58.1,41.9,62.0,11.0,94.0,10876580.0,61036.0,178.0,30664177.6,2426.3,12638.25,33371499.52,2663.3,12530.13,47.0,57.4,12.8,2.1,2.1,25.5,0.0,28.0,8.0,28.6,0.0,0.0,100.0,0.0,100.0,0.0,0.0,2.0,50.57507507507508,9.0,50.83483483483484,10.0,51.50445103857567,75.01474926253687,0,1
1030505,Gardner High,Public School,Gardner,1440,"08,09,10,11,12",Gardner,1030000,182,104,122,122,0,711,56.0,7.9,22.0,3.1,129.0,18.1,358.0,50.4,295.0,41.5,2.7,2.1,12.5,78.5,0.4,0.0,3.8,53.6,46.4,374.0,15.9,757.0,10876580.0,61036.0,178.0,30664177.6,2426.3,12638.25,33371499.52,2663.3,12530.13,121.0,95.0,2.5,0.8,0.8,0.8,0.0,117.0,96.0,82.1,0.0,17.7,40.6,41.7,38.5,26.0,14.6,115.0,61.0,99.0,25.5,102.0,20.0,59.0,0,1
6720505,Gateway Regional High,Public School,Huntington,1050,"09,10,11,12",Gateway,6720000,61,59,42,55,3,220,7.0,3.2,1.0,0.5,36.0,16.4,83.0,37.7,63.0,28.6,0.5,0.9,2.7,94.1,0.0,0.0,1.8,44.1,55.9,201.0,11.6,236.0,4975095.0,57985.0,86.0,14950606.81,942.1,15869.45,16643615.81,1085.1,15338.32,69.0,89.9,0.0,1.4,2.9,5.8,0.0,78.0,60.0,76.9,0.0,16.7,31.7,51.7,31.7,26.7,15.0,27.0,54.0,41.0,50.0,41.0,41.0,77.0,0,1
