School Code,School Name,School Type,Town,Zip,Grade,District Name,District Code,5_Enrollment,6_Enrollment,7_Enrollment,8_Enrollment,SP_Enrollment,TOTAL_Enrollment,First Language Not English,% First Language Not English,English Language Learner,% English Language Learner,Students With Disabilities,% Students With Disabilities,High Needs,% High Needs,Economically Disadvantaged,% Economically Disadvantaged,% African American,% Asian,% Hispanic,% White,% Native American,"% Native Hawaiian, Pacific Islander","% Multi-Race, Non-Hispanic",% Males,% Females,Total # of Classes,Average Class Size,Number of Students,Salary Totals,Average Salary,FTE Count,In-District Expenditures,Total In-district FTEs,Average In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Average Expenditures per Pupil,School Accountability Percentile (1-99),Progress and Performance Index (PPI) - All Students,Charter School,Public School,PPI_met
350560,Boston Latin,Public School,Boston,2115,"07,08,09,10,11,12",Boston,350000,0,0,386,387,0,2403,785.0,32.7,78.0,3.2,50.0,2.1,499.0,20.8,377.0,15.7,8.0,29.0,12.1,46.9,0.1,0.0,3.8,45.1,54.9,790.0,25.8,2429.0,383866184.0,88790.0,4323.0,1093104368.5,56858.8,19224.89,1269579527.02,65964.6,19246.36,96.0,97.0,0,1,1
350545,Boston Latin Academy,Public School,Dorchester,2121,"07,08,09,10,11,12",Boston,350000,0,0,262,269,0,1698,706.0,41.6,31.0,1.8,50.0,2.9,622.0,36.6,538.0,31.7,22.7,21.9,22.6,29.3,0.4,0.2,2.9,41.9,58.1,680.0,17.9,1690.0,383866184.0,88790.0,4323.0,1093104368.5,56858.8,19224.89,1269579527.02,65964.6,19246.36,91.0,92.0,0,1,1
350036,Carter Developmental Center,Public School,Boston,2118,"07,08,09,10,11,12",Boston,350000,0,0,3,1,6,29,16.0,55.2,9.0,31.0,29.0,100.0,29.0,100.0,22.0,75.9,51.7,13.8,17.2,13.8,0.0,3.4,0.0,62.1,37.9,1.0,27.0,27.0,383866184.0,88790.0,4323.0,1093104368.5,56858.8,19224.89,1269579527.02,65964.6,19246.36,52.002849002849004,67.6923076923077,0,1,0
350430,Clarence R Edwards Middle,Public School,Charlestown,2129,"06,07,08",Boston,350000,0,97,110,128,0,335,229.0,68.4,142.0,42.4,106.0,31.6,297.0,88.7,196.0,58.5,13.1,7.5,68.1,9.6,0.0,0.0,1.8,54.3,45.7,185.0,19.4,397.0,383866184.0,88790.0,4323.0,1093104368.5,56858.8,19224.89,1269579527.02,65964.6,19246.36,8.0,41.0,0,1,0
350074,Dearborn,Public School,Dorchester,2121,"06,07,08,09,10,11,12",Boston,350000,0,58,52,53,0,309,201.0,65.0,149.0,48.2,40.0,12.9,264.0,85.4,190.0,61.5,67.3,0.3,26.5,1.6,0.6,0.0,3.6,55.0,45.0,177.0,13.9,277.0,383866184.0,88790.0,4323.0,1093104368.5,56858.8,19224.89,1269579527.02,65964.6,19246.36,25.0,77.0,0,1,1
350426,Dr. William Henderson Upper,Public School,Dorchester,2124,"03,04,05,06,07,08,09,10,11,12",Boston,350000,38,52,59,60,5,505,127.0,25.1,58.0,11.5,215.0,42.6,406.0,80.4,276.0,54.7,43.2,6.7,25.7,21.6,0.2,0.2,2.4,54.7,45.3,211.0,17.1,413.0,383866184.0,88790.0,4323.0,1093104368.5,56858.8,19224.89,1269579527.02,65964.6,19246.36,15.0,74.0,0,1,0
350485,James P Timilty Middle,Public School,Roxbury,2119,"06,07,08",Boston,350000,0,99,117,155,0,371,219.0,59.0,139.0,37.5,89.0,24.0,324.0,87.3,261.0,70.4,29.4,1.6,65.8,0.5,0.0,0.3,2.4,53.1,46.9,179.0,21.0,473.0,383866184.0,88790.0,4323.0,1093104368.5,56858.8,19224.89,1269579527.02,65964.6,19246.36,5.0,38.0,0,1,0
350179,John W McCormack,Public School,Dorchester,2125,"06,07,08",Boston,350000,0,136,143,165,0,444,246.0,55.4,134.0,30.2,107.0,24.1,396.0,89.2,322.0,72.5,32.0,7.2,55.0,5.0,0.0,0.0,0.9,51.4,48.6,371.0,19.4,596.0,383866184.0,88790.0,4323.0,1093104368.5,56858.8,19224.89,1269579527.02,65964.6,19246.36,20.0,66.0,0,1,0
350383,Lilla G. Frederick Middle School,Public School,Dorchester,2121,"06,07,08",Boston,350000,0,139,176,204,0,519,285.0,54.9,215.0,41.4,151.0,29.1,471.0,90.8,359.0,69.2,45.9,9.2,40.7,1.3,0.0,0.2,2.7,53.0,47.0,280.0,16.4,591.0,383866184.0,88790.0,4323.0,1093104368.5,56858.8,19224.89,1269579527.02,65964.6,19246.36,9.0,61.0,0,1,0
350575,O'Bryant School Math/Science,Public School,Roxbury,2120,"07,08,09,10,11,12",Boston,350000,0,0,162,146,0,1437,762.0,53.0,51.0,3.5,50.0,3.5,747.0,52.0,643.0,44.7,32.8,22.5,30.8,11.1,0.4,0.1,2.2,44.3,55.7,392.0,22.3,1423.0,383866184.0,88790.0,4323.0,1093104368.5,56858.8,19224.89,1269579527.02,65964.6,19246.36,87.0,86.0,0,1,1
350565,Quincy Upper School,Public School,Boston,2116,"06,07,08,09,10,11,12",Boston,350000,0,134,71,75,8,506,345.0,68.2,82.0,16.2,86.0,17.0,388.0,76.7,322.0,63.6,21.3,51.0,20.4,4.3,0.2,0.2,2.6,55.1,44.9,186.0,24.7,499.0,383866184.0,88790.0,4323.0,1093104368.5,56858.8,19224.89,1269579527.02,65964.6,19246.36,26.0,53.0,0,1,0
350657,TechBoston Academy,Public School,Dorchester,2124,"06,07,08,09,10,11,12",Boston,350000,0,133,116,137,1,972,441.0,45.4,221.0,22.7,215.0,22.1,794.0,81.7,647.0,66.6,65.9,3.8,24.2,2.9,0.4,0.2,2.6,55.5,44.5,548.0,17.3,992.0,383866184.0,88790.0,4323.0,1093104368.5,56858.8,19224.89,1269579527.02,65964.6,19246.36,19.0,68.0,0,1,0
350445,Washington Irving Middle,Public School,Roslindale,2131,"06,07,08",Boston,350000,0,147,103,94,0,344,130.0,37.8,62.0,18.0,91.0,26.5,258.0,75.0,209.0,60.8,41.3,1.2,47.4,7.3,0.6,0.0,2.3,51.7,48.3,272.0,19.1,438.0,383866184.0,88790.0,4323.0,1093104368.5,56858.8,19224.89,1269579527.02,65964.6,19246.36,6.0,50.0,0,1,0
350258,William H Ohrenberger,Public School,West Roxbury,2132,"03,04,05,06,07,08",Boston,350000,108,123,82,86,0,602,253.0,42.0,151.0,25.1,118.0,19.6,398.0,66.1,279.0,46.3,23.4,4.7,44.0,23.6,0.2,0.3,3.8,56.0,44.0,310.0,21.1,687.0,383866184.0,88790.0,4323.0,1093104368.5,56858.8,19224.89,1269579527.02,65964.6,19246.36,34.0,66.0,0,1,0
360325,Bourne Middle School,Public School,Bourne,2532,"05,06,07,08",Bourne,360000,163,174,183,191,0,711,12.0,1.7,4.0,0.6,105.0,14.8,232.0,32.6,156.0,21.9,1.4,2.4,3.0,89.5,0.8,0.0,3.0,49.1,50.9,409.0,20.3,761.0,11200019.0,74419.0,151.0,29212618.23,1999.9,14607.04,33090991.49,2210.6,14969.24,31.0,38.0,0,1,0
400305,East Middle School,Public School,Braintree,2184,"06,07,08",Braintree,400000,0,237,245,251,0,733,77.0,10.5,15.0,2.0,148.0,20.2,266.0,36.3,146.0,19.9,6.8,13.5,3.8,73.5,0.4,0.0,1.9,51.4,48.6,393.0,17.7,765.0,30370434.0,73535.0,413.0,73316390.04,5660.6,12952.05,79838684.12,5769.7,13837.58,90.0,92.0,0,1,1
400310,South Middle School,Public School,Braintree,2184,"06,07,08",Braintree,400000,0,230,222,225,0,677,72.0,10.6,14.0,2.1,140.0,20.7,228.0,33.7,106.0,15.7,2.2,16.1,3.8,76.7,0.1,0.0,1.0,48.7,51.3,329.0,18.6,675.0,30370434.0,73535.0,413.0,73316390.04,5660.6,12952.05,79838684.12,5769.7,13837.58,90.0,93.0,0,1,1
440421,Ashfield Middle School,Public School,Brockton,2302,"06,07,08",Brockton,440000,0,164,168,155,0,487,160.0,32.9,92.0,18.9,83.0,17.0,286.0,58.7,221.0,45.4,42.7,1.6,9.2,41.7,0.2,0.4,4.1,50.7,49.3,247.0,19.2,512.0,91426338.0,79723.0,1147.0,234018143.37,16858.5,13881.31,249325908.87,17541.3,14213.65,26.0,74.0,0,1,0
440405,East Middle School,Public School,Brockton,2302,"06,07,08",Brockton,440000,0,163,175,202,0,540,308.0,57.0,208.0,38.5,113.0,20.9,444.0,82.2,328.0,60.7,69.8,0.7,11.3,13.5,0.0,0.6,4.1,55.2,44.8,317.0,18.1,556.0,91426338.0,79723.0,1147.0,234018143.37,16858.5,13881.31,249325908.87,17541.3,14213.65,27.0,86.0,0,1,1
440080,Frederick Douglass Academy,Public School,Brockton,2301,"06,07,08,09,10,11,12",Brockton,440000,0,0,1,4,0,35,15.0,42.9,6.0,17.1,15.0,42.9,33.0,94.3,28.0,80.0,77.1,0.0,14.3,5.7,0.0,0.0,2.9,80.0,20.0,94.0,7.3,80.0,91426338.0,79723.0,1147.0,234018143.37,16858.5,13881.31,249325908.87,17541.3,14213.65,52.002849002849004,67.6923076923077,0,1,0
440400,Goddard Alternative School,Public School,Brockton,2301,"04,05,06,07,08,09,10,11,12",Brockton,440000,2,3,5,8,0,48,7.0,14.6,5.0,10.4,48.0,100.0,48.0,100.0,38.0,79.2,41.7,0.0,14.6,41.7,0.0,0.0,2.1,66.7,33.3,86.0,6.4,57.0,91426338.0,79723.0,1147.0,234018143.37,16858.5,13881.31,249325908.87,17541.3,14213.65,52.002849002849004,67.6923076923077,0,1,0
440422,Joseph F. Plouffe Academy,Public School,Brockton,2302,"06,07,08",Brockton,440000,0,248,234,211,0,693,250.0,36.1,88.0,12.7,94.0,13.6,394.0,56.9,315.0,45.5,39.2,2.6,26.7,25.0,0.4,0.1,5.9,48.2,51.8,492.0,22.5,705.0,91426338.0,79723.0,1147.0,234018143.37,16858.5,13881.31,249325908.87,17541.3,14213.65,31.0,59.0,0,1,0
440410,North Middle School,Public School,Brockton,2301,"06,07,08",Brockton,440000,0,202,189,173,0,564,303.0,53.7,189.0,33.5,91.0,16.1,438.0,77.7,341.0,60.5,70.9,2.1,14.5,8.9,0.2,0.4,3.0,53.0,47.0,399.0,18.9,612.0,91426338.0,79723.0,1147.0,234018143.37,16858.5,13881.31,249325908.87,17541.3,14213.65,27.0,83.0,0,1,1
440415,South Middle School,Public School,Brockton,2301,"06,07,08",Brockton,440000,0,171,166,176,0,513,169.0,32.9,70.0,13.6,88.0,17.2,326.0,63.5,262.0,51.1,51.3,3.1,16.0,22.8,0.0,0.4,6.4,52.8,47.2,306.0,22.0,567.0,91426338.0,79723.0,1147.0,234018143.37,16858.5,13881.31,249325908.87,17541.3,14213.65,11.0,43.0,0,1,0
440420,West Middle School,Public School,Brockton,2301,"06,07,08",Brockton,440000,0,230,191,208,0,629,177.0,28.1,48.0,7.6,115.0,18.3,372.0,59.1,306.0,48.6,50.6,3.5,14.9,24.8,0.3,0.5,5.4,49.8,50.2,371.0,22.6,706.0,91426338.0,79723.0,1147.0,234018143.37,16858.5,13881.31,249325908.87,17541.3,14213.65,31.0,65.0,0,1,0
480303,Marshall Simonds Middle,Public School,Burlington,1803,"06,07,08",Burlington,480000,0,271,273,277,0,821,102.0,12.4,11.0,1.3,92.0,11.2,174.0,21.2,81.0,9.9,5.6,11.3,4.6,73.9,0.4,0.0,4.1,53.0,46.9,722.0,21.2,852.0,27776064.0,90475.0,307.0,60921774.39,3451.5,17650.81,68300609.96,3550.3,19237.98,53.0,35.0,0,1,0
490305,Cambridge Street Upper School,Public School,Cambridge,2141,"06,07,08",Cambridge,490000,0,87,91,83,0,261,63.0,24.1,9.0,3.4,73.0,28.0,132.0,50.6,87.0,33.3,30.3,9.6,17.6,35.2,1.1,0.4,5.7,49.8,50.2,173.0,16.9,258.0,50658612.0,78456.0,646.0,168307565.58,6428.0,26183.5,194321971.07,7048.6,27568.87,47.0,65.0,0,1,0
490310,Putnam Avenue Upper School,Public School,Cambridge,2139,"06,07,08",Cambridge,490000,0,89,95,78,0,262,56.0,21.4,3.0,1.1,68.0,26.0,144.0,55.0,109.0,41.6,35.9,10.7,17.6,25.6,0.4,1.1,8.8,47.7,52.3,181.0,17.8,263.0,50658612.0,78456.0,646.0,168307565.58,6428.0,26183.5,194321971.07,7048.6,27568.87,14.0,47.0,0,1,0
490315,Rindge Avenue Upper School,Public School,Cambridge,2140,"06,07,08",Cambridge,490000,0,96,94,85,0,275,46.0,16.7,4.0,1.5,73.0,26.5,118.0,42.9,77.0,28.0,30.9,9.8,10.5,40.0,0.7,0.4,7.6,52.7,47.3,148.0,19.0,278.0,50658612.0,78456.0,646.0,168307565.58,6428.0,26183.5,194321971.07,7048.6,27568.87,65.0,64.0,0,1,0
490320,Vassal Lane Upper School,Public School,Cambridge,2138,"06,07,08",Cambridge,490000,0,93,93,82,0,268,98.0,36.6,24.0,9.0,64.0,23.9,140.0,52.2,82.0,30.6,26.1,14.2,6.7,44.0,0.7,0.4,7.8,48.5,51.5,180.0,17.9,287.0,50658612.0,78456.0,646.0,168307565.58,6428.0,26183.5,194321971.07,7048.6,27568.87,61.0,81.0,0,1,1
500305,Wm H Galvin Middle,Public School,Canton,2021,"06,07,08",Canton,500000,0,258,262,266,0,786,49.0,6.2,13.0,1.7,107.0,13.6,213.0,27.1,122.0,15.5,11.3,10.1,4.7,69.8,0.0,0.1,3.9,49.2,50.8,481.0,19.7,806.0,18615345.0,77664.0,240.0,44371614.0,3359.4,13208.2,48664018.0,3434.9,14167.52,65.0,62.0,0,1,0
520405,Carver Middle/High School,Public School,Carver,2330,"06,07,08,09,10,11,12",Carver,520000,0,141,116,155,8,836,4.0,0.5,3.0,0.4,168.0,20.1,263.0,31.5,150.0,17.9,1.3,0.2,1.1,95.6,0.1,0.1,1.6,50.7,49.3,419.0,15.5,829.0,8237964.0,66921.0,123.0,22082455.08,1625.1,13588.37,24028000.58,1684.7,14262.48,34.0,54.0,0,1,0
560305,Col Moses Parker School,Public School,Chelmsford,1824,"05,06,07,08",Chelmsford,560000,170,184,181,190,0,725,94.0,13.0,9.0,1.2,130.0,17.9,207.0,28.6,80.0,11.0,2.2,14.6,4.8,76.4,0.0,0.0,1.9,50.5,49.5,412.0,16.7,731.0,26559688.0,73471.0,362.0,61371151.49,5028.4,12204.91,70390125.61,5296.9,13288.93,94.0,74.0,0,1,0
560310,McCarthy Middle School,Public School,Chelmsford,1824,"05,06,07,08",Chelmsford,560000,218,200,208,224,0,850,98.0,11.5,23.0,2.7,143.0,16.8,241.0,28.4,92.0,10.8,3.1,13.2,4.0,77.3,0.0,0.4,2.1,50.8,49.2,489.0,16.6,881.0,26559688.0,73471.0,362.0,61371151.49,5028.4,12204.91,70390125.61,5296.9,13288.93,90.0,79.0,0,1,1
570050,Clark Avenue School,Public School,Chelsea,2150,"05,06,07,08",Chelsea,570000,153,147,123,122,0,545,475.0,87.2,15.0,2.8,75.0,13.8,363.0,66.6,309.0,56.7,3.3,1.3,89.4,4.8,0.4,0.0,0.9,55.4,44.6,254.0,22.9,542.0,27035942.0,64772.0,417.0,80232201.2,6300.4,12734.46,96592693.31,7014.6,13770.24,6.0,31.0,0,1,0
570045,Eugene Wright Science and Technology Academy,Public School,Chelsea,2150,"05,06,07,08",Chelsea,570000,159,119,131,110,0,519,414.0,79.8,28.0,5.4,98.0,18.9,373.0,71.9,319.0,61.5,6.2,1.5,83.0,7.3,0.6,0.0,1.3,56.8,43.2,177.0,24.2,510.0,27035942.0,64772.0,417.0,80232201.2,6300.4,12734.46,96592693.31,7014.6,13770.24,4.0,55.0,0,1,0
570055,Joseph A. Browne School,Public School,Chelsea,2150,"05,06,07,08",Chelsea,570000,154,142,133,147,0,576,516.0,89.6,299.0,51.9,49.0,8.5,477.0,82.8,306.0,53.1,5.9,2.1,86.6,5.2,0.0,0.0,0.2,48.8,51.2,218.0,25.0,618.0,27035942.0,64772.0,417.0,80232201.2,6300.4,12734.46,96592693.31,7014.6,13770.24,4.0,37.0,0,1,0
610305,Bellamy Middle,Public School,Chicopee,1020,"06,07,08",Chicopee,610000,0,244,279,265,0,788,106.0,13.5,32.0,4.1,153.0,19.4,481.0,61.0,414.0,52.5,2.7,2.0,33.8,58.4,0.4,0.0,2.8,50.9,49.1,483.0,18.7,846.0,40973099.0,65358.0,627.0,104445939.54,7618.3,13709.87,108607099.95,7950.9,13659.72,28.0,81.0,0,1,1
610021,Chicopee Academy,Public School,Chicopee,1020,"06,07,08,09,10,11,12",Chicopee,610000,0,1,10,13,1,106,21.0,19.8,2.0,1.9,42.0,39.6,95.0,89.6,82.0,77.4,4.7,0.0,63.2,27.4,0.0,0.0,4.7,75.5,24.5,122.0,5.7,108.0,40973099.0,65358.0,627.0,104445939.54,7618.3,13709.87,108607099.95,7950.9,13659.72,2.0,46.0,0,1,0
610310,Dupont Middle,Public School,Chicopee,1013,"06,07,08",Chicopee,610000,0,264,236,269,0,769,91.0,11.8,45.0,5.9,158.0,20.5,478.0,62.2,398.0,51.8,4.3,1.6,36.2,54.5,0.1,0.1,3.3,55.3,44.7,285.0,19.8,726.0,40973099.0,65358.0,627.0,104445939.54,7618.3,13709.87,108607099.95,7950.9,13659.72,22.0,54.0,0,1,0
640305,Clinton Middle School,Public School,Clinton,1510,"04,05,06,07,08",Clinton,640000,145,123,127,139,0,700,142.0,20.3,43.0,6.1,139.0,19.9,341.0,48.7,227.0,32.4,4.7,1.1,22.0,70.9,0.0,0.0,1.3,55.4,44.6,356.0,20.5,696.0,9314342.0,66247.0,141.0,21906696.7,1857.3,11794.92,28176189.96,2179.2,12929.6,37.0,56.0,0,1,0
650505,Cohasset Middle/High School,Public School,Cohasset,2025,"06,07,08,09,10,11,12",Cohasset,650000,0,143,128,134,0,838,3.0,0.4,1.0,0.1,103.0,12.3,136.0,16.2,36.0,4.3,3.2,2.6,1.2,92.1,0.4,0.0,0.5,50.7,49.3,513.0,17.8,850.0,9615360.0,82963.0,116.0,22547730.72,1593.5,14149.82,24144763.33,1616.4,14937.37,92.0,84.0,0,1,1
670305,Concord Middle,Public School,Concord,1742,"06,07,08",Concord,670000,0,239,249,227,0,715,38.0,5.3,3.0,0.4,114.0,15.9,152.0,21.3,42.0,5.9,4.8,5.9,4.2,80.6,0.1,0.0,4.5,47.7,52.3,505.0,14.6,683.0,15226596.0,94282.0,162.0,35083262.38,2094.9,16746.99,37477871.53,2139.5,17517.12,94.0,100.0,0,1,1
710305,Holten Richmond Middle School,Public School,Danvers,1923,"06,07,08",Danvers,710000,0,288,266,284,0,838,20.0,2.4,2.0,0.2,136.0,16.2,238.0,28.4,126.0,15.0,1.6,2.1,7.4,85.8,0.1,0.0,3.0,51.1,48.9,582.0,17.9,847.0,21023540.0,78183.0,269.0,48480811.39,3564.9,13599.49,53711945.95,3677.1,14607.15,33.0,65.0,0,1,0
720050,Dartmouth Middle,Public School,North Dartmouth,2747,"06,07,08",Dartmouth,720000,0,300,334,331,0,965,43.0,4.5,7.0,0.7,124.0,12.8,281.0,29.1,187.0,19.4,1.7,0.4,2.6,90.1,0.0,0.0,5.3,51.6,48.4,647.0,18.2,998.0,20097135.0,73412.0,274.0,43980803.53,3697.9,11893.45,46942013.71,3759.2,12487.23,71.0,67.0,0,1,0
730305,Dedham Middle School,Public School,Dedham,2026,"06,07,08",Dedham,730000,0,203,213,215,0,631,74.0,11.7,23.0,3.6,155.0,24.6,251.0,39.8,121.0,19.2,6.8,2.4,14.3,73.1,0.3,0.0,3.2,51.3,48.7,452.0,17.0,678.0,17787199.0,76417.0,233.0,45018771.29,2741.8,16419.42,50399817.52,2834.7,17779.59,44.0,51.0,0,1,0
770305,Douglas Middle School,Public School,Douglas,1516,"06,07,08",Douglas,770000,0,105,123,132,0,360,1.0,0.3,0.0,0.0,50.0,13.9,96.0,26.7,62.0,17.2,0.6,1.9,4.2,91.1,0.0,0.6,1.7,50.6,49.4,143.0,25.4,406.0,6718753.0,66853.0,101.0,16768779.07,1530.8,10954.26,18516872.47,1594.6,11612.24,50.0,61.0,0,1,0
790410,Justus C. Richardson Middle School,Public School,Dracut,1826,"06,07,08",Dracut,790000,0,277,301,323,0,901,34.0,3.8,7.0,0.8,129.0,14.3,284.0,31.5,182.0,20.2,5.8,6.2,7.5,78.6,0.2,0.0,1.7,50.8,49.2,449.0,23.0,985.0,15116179.0,70080.0,216.0,39350547.0,3672.6,10714.63,44748069.0,3932.0,11380.49,23.0,68.0,0,1,0
820305,Duxbury Middle,Public School,Duxbury,2332,"06,07,08",Duxbury,820000,0,243,243,265,0,751,11.0,1.5,5.0,0.7,96.0,12.8,134.0,17.8,41.0,5.5,0.1,1.5,2.3,92.9,0.1,0.0,3.1,53.1,46.9,335.0,21.8,785.0,17404817.0,74411.0,234.0,40979317.26,3204.4,12788.45,42698532.5,3245.5,13156.23,80.0,76.0,0,1,1
830505,East Bridgewater JR./SR. High School,Public School,East Bridgewater,2333,"07,08,09,10,11,12",East Bridgewater,830000,0,0,196,188,0,1051,7.0,0.7,5.0,0.5,155.0,14.7,270.0,25.7,148.0,14.1,2.8,0.3,1.9,93.2,0.2,0.2,1.4,48.6,51.2,390.0,19.9,1033.0,9839185.0,72188.0,136.0,21557014.67,2280.8,9451.51,24527294.58,2358.4,10399.97,56.0,62.0,0,1,0
870305,Birchland Park,Public School,East Longmeadow,1028,"06,07,08",East Longmeadow,870000,0,214,225,189,0,628,40.0,6.4,6.0,1.0,107.0,17.0,193.0,30.7,108.0,17.2,2.2,5.9,5.4,85.5,0.0,0.2,0.8,52.4,47.6,345.0,18.6,646.0,14616105.0,73819.0,198.0,34043331.94,2670.7,12746.97,37248544.41,2748.0,13554.78,79.0,85.0,0,1,1
860305,White Brook Middle School,Public School,Easthampton,1027,"05,06,07,08",Easthampton,860000,105,109,124,111,0,449,29.0,6.5,4.0,0.9,90.0,20.0,180.0,40.1,134.0,29.8,1.8,3.6,10.5,82.4,0.0,0.0,1.8,48.3,51.7,211.0,20.3,477.0,7782569.0,70494.0,110.0,18612256.04,1529.1,12172.03,24120880.63,1867.5,12916.13,16.0,59.0,0,1,0
880405,Easton Middle School,Public School,North Easton,2356,"06,07,08",Easton,880000,0,300,294,293,0,887,31.0,3.5,0.0,0.0,172.0,19.4,240.0,27.1,97.0,10.9,5.4,3.4,3.5,85.1,0.1,0.0,2.5,49.3,50.7,505.0,18.3,868.0,19580625.0,73226.0,267.0,44843575.57,3760.7,11924.26,48800124.06,3833.3,12730.58,86.0,80.0,0,1,1
940305,Hastings Middle,Public School,Fairhaven,2719,"06,07,08",Fairhaven,940000,0,165,141,152,0,458,20.0,4.4,6.0,1.3,55.0,12.0,164.0,35.8,128.0,27.9,1.1,2.6,4.1,89.5,0.7,0.0,2.0,52.6,47.4,291.0,17.0,443.0,9473021.0,65648.0,144.0,22544466.04,2010.2,11215.04,24755992.58,2055.1,12046.13,28.0,62.0,0,1,0
950320,Matthew J Kuss Middle,Public School,Fall River,2724,"06,07,08",Fall River,950000,0,294,249,227,0,770,127.0,16.5,40.0,5.2,153.0,19.9,500.0,64.9,457.0,59.4,6.5,3.8,21.0,62.6,0.3,0.0,5.8,49.0,51.0,285.0,22.4,736.0,48085708.0,66693.0,721.0,139277671.0,10164.4,13702.5,160329690.0,11390.1,14076.23,46.0,58.0,0,1,0
950315,Morton Middle,Public School,Fall River,2720,"06,07,08",Fall River,950000,0,214,204,204,0,622,100.0,16.1,34.0,5.5,141.0,22.7,445.0,71.5,391.0,62.9,7.7,4.7,21.7,59.2,0.2,0.3,6.3,56.1,43.9,267.0,21.2,632.0,48085708.0,66693.0,721.0,139277671.0,10164.4,13702.5,160329690.0,11390.1,14076.23,18.0,59.0,0,1,0
950335,Resiliency Middle School,Public School,Fall River,2720,"06,07,08",Fall River,950000,0,1,6,19,0,27,6.0,22.2,5.0,18.5,7.0,25.9,27.0,100.0,25.0,92.6,11.1,0.0,37.0,40.7,3.7,0.0,7.4,55.6,44.4,20.0,8.6,43.0,48085708.0,66693.0,721.0,139277671.0,10164.4,13702.5,160329690.0,11390.1,14076.23,52.002849002849004,67.6923076923077,0,1,0
950305,Talbot Innovation School,Public School,Fall River,2723,"06,07,08",Fall River,950000,0,172,184,190,0,546,205.0,37.5,133.0,24.4,117.0,21.4,459.0,84.1,396.0,72.5,7.1,5.1,31.7,50.4,0.2,0.0,5.5,52.2,47.8,348.0,15.0,598.0,48085708.0,66693.0,721.0,139277671.0,10164.4,13702.5,160329690.0,11390.1,14076.23,9.0,53.0,0,1,0
960405,Lawrence,Public School,Falmouth,2540,"07,08",Falmouth,960000,0,0,290,278,0,568,31.0,5.5,11.0,1.9,115.0,20.2,215.0,37.9,141.0,24.8,4.6,3.0,3.9,80.5,1.4,0.0,6.7,51.2,48.8,366.0,17.5,574.0,21626176.0,74830.0,289.0,53051341.0,3529.1,15032.54,58760226.0,3717.9,15804.68,77.0,89.0,0,1,1
970315,Arthur M Longsjo Middle School,Public School,Fitchburg,1420,"05,06,07,08",Fitchburg,970000,167,171,110,111,0,559,174.0,31.1,24.0,4.3,125.0,22.4,419.0,75.0,355.0,63.5,5.9,4.7,51.3,30.4,0.2,0.0,7.5,55.1,44.9,308.0,17.2,553.0,24850071.0,70158.0,354.0,64710795.27,4937.4,13106.25,78001260.4,5659.1,13783.33,23.0,74.0,0,1,0
970048,Memorial Intermediate,Public School,Fitchburg,1420,"05,06,07,08",Fitchburg,970000,174,204,163,175,0,716,290.0,40.5,95.0,13.3,124.0,17.3,464.0,64.8,391.0,54.6,5.6,5.4,52.2,29.9,0.0,0.0,6.8,50.3,49.7,286.0,21.0,720.0,24850071.0,70158.0,354.0,64710795.27,4937.4,13106.25,78001260.4,5659.1,13783.33,22.0,61.0,0,1,0
990405,John J Ahern,Public School,Foxborough,2035,"05,06,07,08",Foxborough,990000,205,204,214,193,0,816,9.0,1.1,7.0,0.9,153.0,18.8,230.0,28.2,126.0,15.4,4.5,2.3,4.2,86.8,0.5,0.0,1.7,51.0,49.0,543.0,17.8,832.0,16945176.0,80964.0,209.0,39396172.22,2678.7,14707.2,42640221.51,2804.0,15206.93,69.0,62.0,0,1,0
4120530,Academy Of the Pacific Rim Charter Public School,Charter School,Hyde Park,2136,"05,06,07,08,09,10,11,12",Academy Of the Pacific Rim Charter Public (District),4120000,79,77,81,79,0,527,130.0,24.7,62.0,11.8,128.0,24.3,307.0,58.3,202.0,38.3,58.1,0.9,27.3,10.4,0.0,0.2,3.0,47.4,52.6,123.0,22.8,525.0,48713587.68313953,73165.58430232559,630.2994186046511,131190079.64128277,8385.18279883382,14205.905189504374,149048155.52772596,9304.580466472304,14722.748833819242,57.0,59.0,1,0,0
6000405,Raymond J Grey Junior High,Public School,Acton,1720,"07,08",Acton-Boxborough,6000000,0,0,469,442,0,911,151.0,16.6,17.0,1.9,141.0,15.5,201.0,22.1,47.0,5.2,2.0,31.8,3.7,56.8,0.1,0.0,5.6,52.3,47.7,547.0,22.3,895.0,29231455.0,80750.0,362.0,72610770.88,5643.6,12866.04,81149569.94,5789.7,14016.2,97.0,100.0,0,1,1
6030505,Hoosac Valley Middle & High School,Public School,Cheshire,1225,"06,07,08,09,10,11,12",Adams-Cheshire,6030000,0,91,112,96,2,622,5.0,0.8,5.0,0.8,139.0,22.3,300.0,48.2,244.0,39.2,5.1,1.3,1.4,91.8,0.2,0.0,0.2,50.0,50.0,379.0,14.1,637.0,6778249.0,67378.0,101.0,18446323.95,1392.8,13244.06,19860457.42,1538.8,12906.46,11.0,50.0,0,1,0
