School Code,School Name,School Type,Town,Zip,Grade,District Name,District Code,5_Enrollment,6_Enrollment,7_Enrollment,8_Enrollment,SP_Enrollment,TOTAL_Enrollment,First Language Not English,% First Language Not English,English Language Learner,% English Language Learner,Students With Disabilities,% Students With Disabilities,High Needs,% High Needs,Economically Disadvantaged,% Economically Disadvantaged,% African American,% Asian,% Hispanic,% White,% Native American,"% Native Hawaiian, Pacific Islander","% Multi-Race, Non-Hispanic",% Males,% Females,Total # of Classes,Average Class Size,Number of Students,Salary Totals,Average Salary,FTE Count,In-District Expenditures,Total In-district FTEs,Average In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Average Expenditures per Pupil,School Accountability Percentile (1-99),Progress and Performance Index (PPI) - All Students,Charter School,Public School,PPI_met
3470410,Daniel L Joyce Middle School,Public School,Woburn,1801,"06,07,08",Woburn,3470000,0,158,186,154,0,498,62.0,12.4,15.0,3.0,105.0,21.1,198.0,39.8,108.0,21.7,5.6,4.6,6.8,79.5,0.4,0.2,2.8,50.2,49.8,473.0,16.5,534.0,26650981.0,73237.0,364.0,68742713.31,4756.7,14451.77,74225432.37,4896.7,15158.26,60.0,61.0,0,1,0
3470405,John F Kennedy Middle School,Public School,Woburn,1801,"06,07,08",Woburn,3470000,0,148,190,169,0,507,82.0,16.2,18.0,3.6,81.0,16.0,200.0,39.4,131.0,25.8,8.3,5.5,7.9,76.1,1.0,0.0,1.2,48.7,51.3,432.0,17.2,523.0,26650981.0,73237.0,364.0,68742713.31,4756.7,14451.77,74225432.37,4896.7,15158.26,43.0,60.0,0,1,0
3480405,Burncoat Middle School,Public School,Worcester,1606,"07,08",Worcester,3480000,0,0,295,268,0,563,240.0,42.6,132.0,23.4,133.0,23.6,386.0,68.6,309.0,54.9,15.3,4.4,41.9,31.6,0.2,0.0,6.6,51.5,48.5,332.0,13.9,517.0,143116198.0,78256.0,1829.0,340051744.22,25025.6,13588.16,388759581.52,27965.8,13901.25,12.0,69.0,0,1,0
3480350,Claremont Academy,Public School,Worcester,1610,"07,08,09,10,11,12",Worcester,3480000,0,0,86,77,0,532,415.0,78.0,217.0,40.8,62.0,11.7,444.0,83.5,346.0,65.0,9.2,9.8,72.4,7.0,0.0,0.0,1.7,50.4,49.6,271.0,17.6,492.0,143116198.0,78256.0,1829.0,340051744.22,25025.6,13588.16,388759581.52,27965.8,13901.25,14.0,57.0,0,1,0
3480415,Forest Grove Middle,Public School,Worcester,1605,"07,08",Worcester,3480000,0,0,492,505,0,997,469.0,47.0,232.0,23.3,198.0,19.9,596.0,59.8,449.0,45.0,11.9,6.4,31.8,44.8,0.1,0.0,4.9,52.4,47.6,421.0,21.4,983.0,143116198.0,78256.0,1829.0,340051744.22,25025.6,13588.16,388759581.52,27965.8,13901.25,35.0,54.0,0,1,0
3480423,Sullivan Middle,Public School,Worcester,1603,"06,07,08",Worcester,3480000,0,48,413,402,0,863,457.0,53.0,247.0,28.6,176.0,20.4,610.0,70.7,490.0,56.8,14.6,11.4,42.4,26.9,0.2,0.0,4.5,52.3,47.7,404.0,19.3,852.0,143116198.0,78256.0,1829.0,340051744.22,25025.6,13588.16,388759581.52,27965.8,13901.25,10.0,56.0,0,1,0
3480285,University Pk Campus School,Public School,Worcester,1610,"07,08,09,10,11,12",Worcester,3480000,0,0,47,44,0,254,174.0,68.5,65.0,25.6,28.0,11.0,174.0,68.5,145.0,57.1,11.4,19.7,53.5,11.8,0.4,0.0,3.1,55.1,44.9,114.0,19.3,250.0,143116198.0,78256.0,1829.0,340051744.22,25025.6,13588.16,388759581.52,27965.8,13901.25,54.0,59.0,0,1,0
3480420,Worcester East Middle,Public School,Worcester,1604,"06,07,08",Worcester,3480000,0,79,365,372,0,816,459.0,56.3,273.0,33.5,146.0,17.9,689.0,84.4,543.0,66.5,19.1,7.0,48.2,21.4,0.0,0.0,4.3,51.8,48.2,355.0,20.1,780.0,143116198.0,78256.0,1829.0,340051744.22,25025.6,13588.16,388759581.52,27965.8,13901.25,15.0,66.0,0,1,0
35090305,Argosy Collegiate Charter School,Charter School,Fall River,2724,"06,07,08",Argosy Collegiate Charter School (District),35090000,0,102,102,103,0,307,54.0,17.6,46.0,15.0,71.0,23.1,186.0,60.6,152.0,49.5,9.4,2.0,11.1,72.3,0.3,0.7,4.2,54.1,45.9,56.0,25.5,204.0,48713587.68313953,73165.58430232559,630.2994186046511,131190079.64128277,8385.18279883382,14205.905189504374,149048155.52772596,9304.580466472304,14722.748833819242,52.002849002849004,67.6923076923077,1,0,0
35020405,Baystate Academy Charter Public School,Charter School,Springfield,1104,"06,07,08,09,10",Baystate Academy Charter Public School (District),35020000,0,82,82,80,0,392,69.0,17.6,48.0,12.2,77.0,19.6,312.0,79.6,282.0,71.9,27.6,0.8,65.3,5.9,0.0,0.0,0.5,50.5,49.5,153.0,16.1,299.0,48713587.68313953,73165.58430232559,630.2994186046511,131190079.64128277,8385.18279883382,14205.905189504374,149048155.52772596,9304.580466472304,14722.748833819242,52.002849002849004,67.6923076923077,1,0,0
35130305,New Heights Charter School of Brockton,Charter School,Brockton,2301,"06,07,08",New Heights Charter School of Brockton (District),35130000,0,105,104,104,0,313,15.0,4.8,14.0,4.5,25.0,8.0,174.0,55.6,147.0,47.0,86.9,1.3,8.3,2.2,0.0,0.0,1.3,52.7,47.3,325.28846153846155,18.370604395604396,582.0439560439561,48713587.68313953,73165.58430232559,630.2994186046511,131190079.64128277,8385.18279883382,14205.905189504374,149048155.52772596,9304.580466472304,14722.748833819242,52.002849002849004,67.6923076923077,1,0,0
35060505,Pioneer Charter School of Science II (PCSS-II),Charter School,Saugus,1906,"07,08,09,10,11,12",Pioneer Charter School of Science II (PCSS-II) (District),35060000,0,0,77,75,0,322,165.0,51.2,82.0,25.5,37.0,11.5,172.0,53.4,93.0,28.9,35.1,11.5,21.1,29.8,1.2,0.0,1.2,45.0,55.0,124.0,18.8,267.0,48713587.68313953,73165.58430232559,630.2994186046511,131190079.64128277,8385.18279883382,14205.905189504374,149048155.52772596,9304.580466472304,14722.748833819242,52.002849002849004,67.6923076923077,1,0,0
